doc_type,doc_id,num,date_str,description,url_metadata,lang,newspaper_id,time_ut,source
lk_news,2023-12-10-islandlk-83fa8b83,islandlk-83fa8b83,2023-12-10,Act of Parliament for Truth Commission,http://island.lk/act-of-parliament-for-truth-commission-2/,en,islandlk,1702190400.0,island.lk
lk_news,2023-12-10-islandlk-6f6970fc,islandlk-6f6970fc,2023-12-10,"President urges minimum Rs 1,700 per day",http://island.lk/president-urges-minimum-rs-1700-per-day/,en,islandlk,1702190940.0,island.lk
lk_news,2023-12-16-dailymirrorlk-f9720152,dailymirrorlk-f9720152,2023-12-16,Minister Alles sets deadline against drugs and underworld,https://www.dailymirror.lk/breaking-news/Minister-Alles-sets-deadline-against-drugs-and-underworld/108-273372,en,dailymirrorlk,1702724820.0,dailymirror.lk
lk_news,2023-12-17-islandlk-4443c695,islandlk-4443c695,2023-12-17,"SJB blames Rajapaksas for impending financial burden on public, calls for Government change",http://island.lk/sjb-blames-rajapaksas-for-impending-financial-burden-on-public-calls-for-government-change/,en,islandlk,1702791120.0,island.lk
lk_news,2023-12-17-islandlk-cfa291ec,islandlk-cfa291ec,2023-12-17,The Lanka Sama Samaja Party celebrates its 88th anniversary of service,http://island.lk/the-lanka-sama-samaja-party-celebrates-its-88th-anniversary-of-service/,en,islandlk,1702791180.0,island.lk
lk_news,2023-12-18-dailymirrorlk-a05b6f69,dailymirrorlk-a05b6f69,2023-12-18,Former Health Secretary arrested,https://www.dailymirror.lk/breaking-news/Former-Health-Secretary-arrested/108-273459,en,dailymirrorlk,1702889100.0,dailymirror.lk
lk_news,2023-12-19-dailymirrorlk-24f82071,dailymirrorlk-24f82071,2023-12-19,Sri Lanka declares pause on foreign research vessels for one year,https://www.dailymirror.lk/breaking-news/Sri-Lanka-declares-pause-on-foreign-research-vessels-for-one-year/108-273513,en,dailymirrorlk,1702955820.0,dailymirror.lk
lk_news,2023-12-21-dailymirrorlk-97b722aa,dailymirrorlk-97b722aa,2023-12-21,List of VAT exempted goods and services issued,https://www.dailymirror.lk/breaking-news/List-of-VAT-exempted-goods-and-services-issued/108-273684,en,dailymirrorlk,1703139300.0,dailymirror.lk
lk_news,2023-12-22-dailymirrorlk-c38a9119,dailymirrorlk-c38a9119,2023-12-22,Newly found COVID sub variant in Sri Lanka?,https://www.dailymirror.lk/breaking-news/Newly-found-COVID-sub-variant-in-Sri-Lanka/108-273731,en,dailymirrorlk,1703212560.0,dailymirror.lk
lk_news,2023-12-22-dailymirrorlk-972a303a,dailymirrorlk-972a303a,2023-12-22,Government issues conditions for state employees to claim bonuses,https://www.dailymirror.lk/breaking-news/Government-issues-conditions-for-state-employees-to-claim-bonuses/108-273764,en,dailymirrorlk,1703239620.0,dailymirror.lk
